postid,posttypeid,parentid,creationdate,score,title,"replace(body, '""', '&quot;')"
49139,2,1711,"2008-09-08 03:55:09",2,NULL,"<p>I think I grew up in a different generation than most here....</p>&#xA;&#xA;<p>One of the most influential books I read, was <a href=&quot;http://www.kohala.com/start/apue.html&quot; rel=&quot;nofollow&quot;>APUE</a>.</p>&#xA;&#xA;<p>Or pretty much anything by W. Richard Stevens.</p>&#xA;"
53240,2,1711,"2008-09-10 00:42:44",2,NULL,"<p>Roger S. Pressman - Software Engineering (A Practitioners Approach). It has got a lot of usefull information.</p>&#xA;"
54322,2,1711,"2008-09-10 15:07:58",5,NULL,"<p>This one isnt really a book for the beginning programmer, but if you're looking for SOA design books, then <a href=&quot;http://rads.stackoverflow.com/amzn/click/0596529554&quot; rel=&quot;nofollow&quot;>SOA in Practice: The Art of Distributed System Design</a> is for you.</p>&#xA;"
55741,2,1711,"2008-09-11 03:15:36",6,NULL,"<p>Do users ever touch your code? If you're not doing solely back-end work, I recommend <a href=&quot;http://rads.stackoverflow.com/amzn/click/0470084111&quot; rel=&quot;nofollow&quot;>About Face: The Essentials of User Interface Design</a> — now in its third edition (linked). I used to think my users were stupid because they didn't &quot;get&quot; my interfaces. I was, of course, wrong. About Face turned me around. </p>&#xA;"
58067,2,1711,"2008-09-12 01:06:13",0,NULL,"<p>Not a programming book, but still a very important book every programmer should read:</p>&#xA;&#xA;<p><a href=&quot;http://rads.stackoverflow.com/amzn/click/0670879835&quot; rel=&quot;nofollow&quot;>Orbiting the Giant Hairball by Gordon MacKenzie</a></p>&#xA;"
60634,2,1711,"2008-09-13 15:53:00",7,NULL,"<p><a href=&quot;http://rads.stackoverflow.com/amzn/click/1593271190&quot; rel=&quot;nofollow&quot;>Code Craft</a> by Pete Goodliffe is a good read!</p>&#xA;&#xA;<p><img src=&quot;http://ecx.images-amazon.com/images/I/51WZ9AEC3GL._SL500_BO2,204,203,200_PIsitb-dp-500-arrow,TopRight,45,-64_OU01_AA240_SH20_.jpg&quot; alt=&quot;Code Craft&quot; /></p>&#xA;"
65407,2,1711,"2008-09-15 18:25:04",5,NULL,"<p>Software Tools by by Brian W. Kernighan and P. J. Plauger</p>&#xA;&#xA;<p>It had a profound influence on how I write software.</p>&#xA;"
66619,2,1711,"2008-09-15 20:29:42",3,NULL,"<p>to get advanced in prolog i like these two books:</p>&#xA;&#xA;<p><a href=&quot;http://rads.stackoverflow.com/amzn/click/0262193388&quot; rel=&quot;nofollow&quot;>The Art of Prolog</a></p>&#xA;&#xA;<p><a href=&quot;http://rads.stackoverflow.com/amzn/click/0262512270&quot; rel=&quot;nofollow&quot;>The Craft of Prolog</a></p>&#xA;&#xA;<p>really opens the mind for logic programming and recursion schemes.</p>&#xA;"
68453,2,1711,"2008-09-16 01:12:01",1,NULL,"<p>Here are two I haven't seen mentioned:<br />&#xA;I wish I had read &quot;<a href=&quot;http://rads.stackoverflow.com/amzn/click/0201423391&quot; rel=&quot;nofollow&quot;>Ruminations on C++</a>&quot; by Koenig and Moo much sooner.  That was the book that made OO concepts really click for me.<br />&#xA;And I recommend Michael Abrash's &quot;Zen of Code Optimization&quot; for anyone else planning on starting a programming career in the mid 90s.  </p>&#xA;"
69157,2,1711,"2008-09-16 03:25:30",8,NULL,"<p>&quot;The World is Flat&quot; by Thomas Friedman. </p>&#xA;&#xA;<p>Excellence in programming demands an investment of mental energy and a dedication to continued learning comparable to the professions of medicine or law. It pays a fraction of what those professions pay, much less the wages paid to the mathematically savvy who head into the finance sector. And wages for <em>constructing code</em> are eroding because it's a profession that is <em>relatively</em> easy for the intelligent and self-disciplined in most economies to enter.</p>&#xA;&#xA;<p>Programming has already eroded to the point of paying less than, say, plumbing. Plumbing can't be &quot;offshored.&quot; You don't need to pay $2395 to attend the Professional Plumber's Conference every other year for the privilege of receiving an entirely new set of plumbing technologies that will take you a year to learn. </p>&#xA;&#xA;<p>If you live in North America or Europe, are young, and are smart, programming is not a rational career choice. Businesses that <em>involve</em> programming, absolutely. Study business, know enough about programming to refine your BS detector: brilliant. But dedicating the lion's share of your mental energy to the mastery of libraries, data structures, and algorithms? That only makes sense if programming is something more to you than an economic choice.</p>&#xA;&#xA;<p>If you <em>love</em> programming and for that reason intend to make it your career, then it behooves you to develop a cold-eyed understanding of the forces that are, and will continue, to make it a harder and harder profession in which to make a living. &quot;The World is Flat&quot; won't teach you what to name your variables, but it will immerse you for 6 or 8 hours in economic realities that have <em>already</em> arrived. If you can read it, and not get scared, <em>then</em> go out and buy &quot;Code Complete.&quot;</p>&#xA;"
72432,2,1711,"2008-09-16 13:51:01",9,NULL,"<p><a href=&quot;http://norvig.com/paip.html&quot;>Paradigms of Artificial Intelligence Programming</a>: Case Studies in Common Lisp by Peter Norvig</p>&#xA;&#xA;<p><img src=&quot;http://i.stack.imgur.com/n9oXc.jpg&quot; alt=&quot;enter image description here&quot;></p>&#xA;&#xA;<p>I started reading it because I wanted to learn Common Lisp. When I was halfway, I realized this was the greatest book about programming I had read so far.</p>&#xA;"
72440,2,1711,"2008-09-16 13:51:35",3,NULL,"<p>It's not strictly a development book and I believe that I've mentioned it in another answer somewhere but it's a book I really believe all developers should read, from php to Java to assembly developers.</p>&#xA;&#xA;<p><a href=&quot;http://rads.stackoverflow.com/amzn/click/0735611319&quot; rel=&quot;nofollow&quot;>Code</a></p>&#xA;&#xA;<p>It really brings together what's under the hood in a computer, why memory shouldn't be wasted and some of the more interesting parts of the history of computing. It's an introduction to the computer and what it is. It gave me my ultimate passion for low level programming and helped me understand pointers and memory more than any other computer.</p>&#xA;"
72490,2,1711,"2008-09-16 13:54:15",1,NULL,"<p>Modern C++ Design by Andrei Alexandrescu</p>&#xA;"
72505,2,1711,"2008-09-16 13:55:06",3,NULL,"<p>I think code complete is going to be a hugely popular one for this question, for me it corrected many of my bad habits and re-affirmed my good practices.</p>&#xA;&#xA;<p>Also for my Perl background I really like Perl Best Practices from Damian Conway. Perl can be a nasty language if you don't use style and best practices, which is what I was seeing in the scripts I was reading ( and sometimes writing ) .</p>&#xA;&#xA;<p>I like the Head First Series, they are quite good and easy to read when your are not in the mood for more serious style books.</p>&#xA;"
72585,2,1711,"2008-09-16 14:01:50",1,NULL,"<p>&quot;Object-Oriented Analysis and Design with Applications&quot; by Grady Booch. I read this a long time ago and it showed me that there could be a methodology to developing Object Oriented Software. Since then many other books have had an impact on me but this one got me started.</p>&#xA;"
72594,2,1711,"2008-09-16 14:02:17",0,NULL,"<p>The <a href=&quot;http://rads.stackoverflow.com/amzn/click/1852335475&quot; rel=&quot;nofollow&quot;>Interpretation of Object-Oriented Programming Languages</a> by Ian Craig</p>&#xA;&#xA;<p>Because it showed me how much more there was to OO than standard C++/Java idioms</p>&#xA;"
72739,2,1711,"2008-09-16 14:14:55",0,NULL,"<p>Thinking in Java (Patterns) , Bruce Eckel</p>&#xA;"
72812,2,1711,"2008-09-16 14:19:43",1,NULL,"<p>Mine is <a href=&quot;http://rads.stackoverflow.com/amzn/click/0321146530&quot; rel=&quot;nofollow&quot;>Test Driven Development by Example</a></p>&#xA;"
72813,2,1711,"2008-09-16 14:20:06",4,NULL,"<p><a href=&quot;http://www.poppendieck.com/ld.htm&quot; rel=&quot;nofollow&quot;>Lean Software Development</a> by Mary and Tom Poppendieck is definitely one for every developers bookshelf</p>&#xA;"
72876,2,1711,"2008-09-16 14:25:32",3,NULL,"<p><a href=&quot;http://rads.stackoverflow.com/amzn/click/0321503619&quot; rel=&quot;nofollow&quot;>Cocoa Programming</a> for Mac OS X by Aaron Hillegass</p>&#xA;"
72905,2,1711,"2008-09-16 14:28:04",2,NULL,"<p>It's a toss up between Head First Design Patterns, for many of the reasons cited above, and Perl Testing: A Developer's Notebook, which should be one of the bibles for any Perl programmer wanting to write maintainable code.</p>&#xA;"
72974,2,1711,"2008-09-16 14:33:43",4,NULL,"<p><a href=&quot;http://rads.stackoverflow.com/amzn/click/0321334876&quot; rel=&quot;nofollow&quot;>Effective C++</a> and <a href=&quot;http://rads.stackoverflow.com/amzn/click/020163371X&quot; rel=&quot;nofollow&quot;>More Effective C++</a> by Scott Myers. </p>&#xA;"
73122,2,1711,"2008-09-16 14:46:04",0,NULL,"<p><a href=&quot;http://samizdat.mines.edu/howto/HowToBeAProgrammer.html&quot; rel=&quot;nofollow&quot;>'How to be a Programmer: A Short, Comprehensive, and Personal Summary'</a> by <em>Robert L Read</em></p>&#xA;&#xA;<p>Not exactly a book but an essay, but this one was definitely an inspiration for me when I got into coding. Loved the notion of entering a tribe. Worth a read.</p>&#xA;"
73228,2,1711,"2008-09-16 14:55:09",2,NULL,"<p>Win32 Programming by Charles Petzold</p>&#xA;"
73235,2,1711,"2008-09-16 14:55:24",6,NULL,"<p><a href=&quot;http://rads.stackoverflow.com/amzn/click/1556159005&quot;>Rapid Development</a> by McConnell</p>&#xA;"
73376,2,1711,"2008-09-16 15:08:37",2,NULL,"<p>I suppose we could ask the <a href=&quot;http://stackoverflow.com/questions/1711/&quot;>same top rated question</a> every couple of weeks and upmod all those who mention <a href=&quot;http://cc2e.com/&quot; rel=&quot;nofollow&quot;>code complete</a> or <a href=&quot;http://www.pragprog.com/titles/tpp/the-pragmatic-programmer&quot; rel=&quot;nofollow&quot;>The Pragmatic Programmer</a>. </p>&#xA;&#xA;<p>Not that there is anythng wrong with it :-)</p>&#xA;"
73623,2,1711,"2008-09-16 15:32:10",2,NULL,"<p>&quot;<em>The Design and Evolution of C++</em>&quot; by Bjarne Stroustrup</p>&#xA;&#xA;<p>Besides giving much background on C++, it is also a lengthy study on the trade-offs and design concerns involved in a large scale program.</p>&#xA;&#xA;<p><a href=&quot;http://search.barnesandnoble.com/The-Design-and-Evolution-of-C/Bjarne-Stroustrup/e/9780201543308/?itm=1&quot; rel=&quot;nofollow&quot;>BN.com</a></p>&#xA;"
73778,2,1711,"2008-09-16 15:46:22",1,NULL,"<p><strong>Learning C# 2005</strong>, by Jesse Liberty &amp; Brian MacDonald (O'Reilly).</p>&#xA;&#xA;<p>ISBN 10: 0-596-10209-7.</p>&#xA;&#xA;<p>When I first made the jump from ASP classic procedural code to object-oriented C# code in VS2005, this book set me on the right path.</p>&#xA;"
73822,2,1711,"2008-09-16 15:50:14",2,NULL,"<p>While not strictly a software development book, I would highly recommend that <a href=&quot;http://rads.stackoverflow.com/amzn/click/0321344758&quot; rel=&quot;nofollow&quot;>Don't Make me Think!</a> be considered in this list.</p>&#xA;"
73880,2,1711,"2008-09-16 15:55:17",1,NULL,"<p>Software Tools by Brian W. Kernighan and  P. J. Plauger by a wide margin had the most effect on me.</p>&#xA;"
74118,2,1711,"2008-09-16 16:15:45",1,NULL,"<p>Inside the C++ Object Model by Stan Lippman. It made C++ finally &quot;click&quot; for me, before it was all &quot;magic&quot;. This book gave me a different frame of mind when approaching a new programming language.</p>&#xA;"
74245,2,1711,"2008-09-16 16:28:12",3,NULL,"<p><a href=&quot;http://en.wikipedia.org/wiki/The_Unix_Programming_Environment&quot; rel=&quot;nofollow&quot;>The Unix Programming Environment</a> by Kernighan and Pike.  </p>&#xA;&#xA;<p><img src=&quot;http://upload.wikimedia.org/wikipedia/en/thumb/4/43/English4.gif/180px-English4.gif&quot; alt=&quot;The Unix Programming Environment&quot; /></p>&#xA;&#xA;<p>More than any other book, it taught me the benefits in building small, easily-tested tools that can be combined to do big things.  </p>&#xA;"
74272,2,1711,"2008-09-16 16:33:02",4,NULL,"<p>Object-Oriented Software Construction by Bertrand Meyer</p>&#xA;"
74310,2,1711,"2008-09-16 16:36:39",2,NULL,"<p><strong>Expert C Programming: Deep C Secrets</strong> by <em>Peter Van Der Linden</em></p>&#xA;"
74424,2,1711,"2008-09-16 16:48:54",3,NULL,"<p>Extreme Programming by Kent Beck</p>&#xA;"
74643,2,1711,"2008-09-16 17:10:51",2,NULL,"<p>My high school math teacher lent me a copy of <a href=&quot;http://rads.stackoverflow.com/amzn/click/0932633161&quot; rel=&quot;nofollow&quot;>Are Your Lights Figure Problem</a> that I have re-read many times. It has been invaluable, as a developer, and in life generally. </p>&#xA;"
74710,2,1711,"2008-09-16 17:17:39",2,NULL,"<p>The question is, <em>&quot;What book really made an impact of how you work as a developer?&quot;</em>  Without any doubt, <strong>Programming Windows with MFC</strong>, by Jeff Prosise, is the book that had the greatest impact on HOW I work as a developer.  It did not teach me the fundamentals of &quot;programming&quot; but it opened the world of Windows platform development to me and many thousands of other developers.</p>&#xA;&#xA;<p>I had written a little Windows code previously in the &quot;Petzold style&quot; before MFC was developed.  I quickly decided the Windows platform we just not worth the trouble as a developer.  When Prosise came out with his MFC book, I realized (along with thousands of other non-Windows programmers) that I could create an easy to use interface that users would not just understand, but actually enjoy using.  I devoured the book, making so many notes in it and turning down so many corners, I eventually bought a second copy.  </p>&#xA;&#xA;<p>Prosise, Jeff. <em>Programming Windows with MFC 2nd Ed.</em>&#xA;Microsoft Press 1999&#xA;ISBN: 1-57231-695-0</p>&#xA;"
74983,2,1711,"2008-09-16 17:45:45",1,NULL,"<p>Object Oriented Analysis and Design - by Grady Booch</p>&#xA;"
75037,2,1711,"2008-09-16 17:51:30",0,NULL,"<p>The C++ Series of programming books by Deitel and Deitel</p>&#xA;"
75058,2,1711,"2008-09-16 17:53:26",1,NULL,"<p><strong>&quot;Thinking in C++&quot;</strong> by Bruce Eckel</p>&#xA;"
75219,2,1711,"2008-09-16 18:07:37",2,NULL,"<p>Domain Driven Design by Eric Evans</p>&#xA;"
75220,2,1711,"2008-09-16 18:07:37",0,NULL,"<p><a href=&quot;http://rads.stackoverflow.com/amzn/click/1558605703&quot; rel=&quot;nofollow&quot;>Managing Gigabytes</a> is an instant classic for thinking about the heavy lifting of information.</p>&#xA;"
75227,2,1711,"2008-09-16 18:08:12",0,NULL,"<p>C# for Experienced Programmers</p>&#xA;&#xA;<p>or really anything from Dietel &amp; Dietel. I have read several of their books, and everything has been awesome.</p>&#xA;"
75393,2,1711,"2008-09-16 18:22:48",0,NULL,"<p>Years ago, Bruce Eckel's Thinking in C++ taught me a great deal about C++ but also the importance of isolating an issue to a small 'sandbox' for study/analysis.  This technique has greatly impacted my career and routinely helps me troubleshoot problems both for myself and others.</p>&#xA;&#xA;<p>These days, I refer to Thinking in Java, which is written in the same style. Somehow, the style is beyond mere, simple 'examples' and profoundly gets at the heart of the issue.</p>&#xA;&#xA;<p>I am so grateful that I will buy virtually anything by Eckel, sight unseen.</p>&#xA;"
75436,2,1711,"2008-09-16 18:26:39",3,NULL,"<p><img src=&quot;http://ecx.images-amazon.com/images/I/519J3P8ANML._SL500_AA240_.jpg&quot;/></p>&#xA;&#xA;<p>Took my programing to a whole new level.</p>&#xA;"
75584,2,1711,"2008-09-16 18:41:54",0,NULL,"<p>When I first started, there was &quot;Mastering Turbo Pascal&quot; by Tom Swan.  There is nothing terribly profound about this book.  It was clear and concise with usable examples.  Based on this knowledge, I spawned a software development career now 15+ years in.</p>&#xA;"
75695,2,1711,"2008-09-16 18:55:40",1,NULL,"<p>Donald Norman, 'The Design of Everyday Things'</p>&#xA;&#xA;<p>Not about programming, per se, but about how things in the world should <em>work</em> -- kind of the psychology of usability.</p>&#xA;&#xA;<p>It's been invaluable for me in designing both end-user interfaces and APIs.</p>&#xA;"
75783,2,1711,"2008-09-16 19:04:12",0,NULL,"<p>Mastering C++ from Tom Swan.  It was the best kind of book, it had examples which were simple enough to teach concepts but useful enough to solve other problems.  It was very readable, it was the first book I read when got to college, and it only needed to be read once.</p>&#xA;"
76132,2,1711,"2008-09-16 19:41:58",0,NULL,"<p>&quot;Algorithms in C&quot; (1st edition) by Sedgewick taught me all about algorithms as well as teaching me all about the pitfalls of documentation and copy/pasting code as all the example code in this version was taken from the &quot;Algorithms in Pascal&quot; version and were simply passed through a simple code translator which did not adjust for the different indexing schemes.</p>&#xA;"
76365,2,1711,"2008-09-16 20:07:28",0,NULL,"<p>My all-time favorite was the C# Back Book, by Matthew Telles.</p>&#xA;"
76530,2,1711,"2008-09-16 20:21:42",0,NULL,"<p>&quot;The C++ Programming Language&quot; by Bjarne Stroustrup</p>&#xA;"
76678,2,1711,"2008-09-16 20:32:08",3,NULL,"<p><a href=&quot;http://rads.stackoverflow.com/amzn/click/078214327X&quot; rel=&quot;nofollow&quot;>Coder to Developer</a>, by Mike Gunderloy.</p>&#xA;"
77228,2,1711,"2008-09-16 21:17:05",0,NULL,"<p>Actually, two books stand out. The first was Code Complete. Despite its age, this is still a very useful book, and the chapter on the dangers of premature optimisation is worth the price of the book on its own. </p>&#xA;&#xA;<p>The second one was The Psychology of Everyday Things (now called The Design of Everyday Things, I think), which changed the way I think about user interfaces when designing applications. It made me more user-focused.</p>&#xA;"
77263,2,1711,"2008-09-16 21:22:06",2,NULL,"<p>Amiga ROM Kernel Manuals :)</p>&#xA;"
77850,2,1711,"2008-09-16 22:16:56",1,NULL,"<p><a href=&quot;http://rads.stackoverflow.com/amzn/click/0201834545&quot; rel=&quot;nofollow&quot;>Inside the C++ object model</a> by Stanley Lippman</p>&#xA;"
78751,2,1711,"2008-09-17 00:52:32",1,NULL,"<p><a href=&quot;http://openbookproject.net/thinkCSpy/index.xhtml&quot; rel=&quot;nofollow&quot;>How to think like a computer scientist: learning with python</a></p>&#xA;&#xA;<p>May not be the most advanced book on the world but it made me understand programming concepts that I couldn't, especially object oriented topics.</p>&#xA;"
78853,2,1711,"2008-09-17 01:11:23",2,NULL,"<p>This might not count as a &quot;development book&quot; but I have to throw it in anyway: Hackers by Stephen Levy.  I found that it spoke to the emotional side of programming.</p>&#xA;"
79649,2,1711,"2008-09-17 03:27:07",2,NULL,"<p>Separately, I'd mention <a href=&quot;http://www.thethirdmanifesto.com/&quot; rel=&quot;nofollow&quot;>The Third Manifesto</a> by Hugh Darwen and CJ Date. If you're interested in understanding <em>data</em> (which seems uncommon among programmers) this book is a must-read. It will also make you sad when you realize just how badly broken SQL is, but it'll also help you cope with that brokenness. Knowing how a tool is broken lets you design with those deficits in mind.</p>&#xA;"
80374,2,1711,"2008-09-17 05:49:22",1,NULL,"<p>The Pragmatic programmer was pretty good. However one that really made an impact when I was starting out was :</p>&#xA;&#xA;<p><a href=&quot;http://rads.stackoverflow.com/amzn/click/1568843186&quot; rel=&quot;nofollow&quot;>Windows 95 System Programming Secrets&quot;</a></p>&#xA;&#xA;<p>I know - it sounds and looks a bit cheesy on the outside and has probably dated a bit - but this was an awesome explanation of the internals of Win95 based on the Authors (Matt Pietrek)  investigations using his own own tools - the code for which came with the book. Bear in mind this was before the whole open source thing and Microsoft was still pretty cagey about releasing documentation of internals - let alone source. &#xA;There was some quote in there like &quot;If you are working through some problem and hit some sticking point then you need to stop and really look deeply into that piece and really understand how it works&quot;. I've found this to be pretty good advice - particularly these days when you often have the source for a library and can go take a look. &#xA;Its also inspired me to enjoy diving into the internals of how systems work, something that has proven invaluable over the course of my career.</p>&#xA;&#xA;<p>Oh and I'd also throw in effective .net - great internals explanation of .Net from Don Box.</p>&#xA;"
80893,2,1711,"2008-09-17 07:45:41",1,NULL,"<p>In recent years it has been 'The C++ Standard Library' by 'Nicolai M. Josuttis'.  It's my bible.</p>&#xA;&#xA;<p><img src=&quot;http://ecx.images-amazon.com/images/I/51BT5SKXTCL._SL500_AA240_.jpg&quot; alt=&quot;alt text&quot; /></p>&#xA;"
80944,2,1711,"2008-09-17 07:55:52",7,NULL,"<p>Martin Fowler's <strong><a href=&quot;http://rads.stackoverflow.com/amzn/click/0201485672&quot; rel=&quot;nofollow&quot;>Refactoring: Improving the Design of Existing Code</a></strong> has already been listed. But I will detail why it has impacted me.</p>&#xA;&#xA;<p>The essence of the whole book is about structuring code so that it is simpler to read and understand by <em>humans</em>. It teaches me strongly that the code that I write is meant for my colleagues and successors to consume and possibly learn something <em>good</em> out of it. It inspires me to consciously <a href=&quot;http://icelava.net/forums/post/1040.aspx&quot; rel=&quot;nofollow&quot;>program in a manner that leaves people praising my name, and not cursing me to damnation for all eternity</a>.</p>&#xA;"
81253,2,1711,"2008-09-17 08:53:51",2,NULL,"<p>Another book that has not been mentioned yet, and SHOULD be required reading for EVERY programmer, newbies on up to gurus, in ANY programming language, is Michael Howard's Writing Secure Code (2nd Edition) from MSPress.</p>&#xA;"
81276,2,1711,"2008-09-17 08:58:01",1,NULL,"<p>The first book that made a real impact on me was <em><a href=&quot;http://rads.stackoverflow.com/amzn/click/0672305267&quot; rel=&quot;nofollow&quot;>Mastering Turbo Assembler</a></em> by Tom Swan.</p>&#xA;&#xA;<p>Other books that have had an impact was <em><a href=&quot;http://rads.stackoverflow.com/amzn/click/0066620732&quot; rel=&quot;nofollow&quot;>Just For Fun</a></em> by Linus Torvalds and David Diamond and of course <em><a href=&quot;http://rads.stackoverflow.com/amzn/click/020161622X&quot; rel=&quot;nofollow&quot;>The Pragmatic Programmer</a></em> by Andrew Hunt and David Thomas.</p>&#xA;"
81470,2,1711,"2008-09-17 09:31:29",0,NULL,"<p><img src=&quot;http://g-ecx.images-amazon.com/images/G/01/ciu/31/89/d4ac024128a044c186a18010._AA207_.L.jpg&quot; alt=&quot;How to Solve it by computer&quot; /> - R.G.Dromey</p>&#xA;"
82446,2,1711,"2008-09-17 12:14:43",0,NULL,"<p>Probably &quot;C for Dummies&quot; vol 1, back in 1997 or so. Just an introduction really, but it was a good read after having picked up the taste for programming in GFA Basic on the Atari ST. The Coronado C tutorial around the same time helped too.</p>&#xA;"
82863,2,1711,"2008-09-17 12:58:34",2,NULL,"<p>for low level entertainment i would suggest <strong>Michael Abrash's</strong><br />&#xA;i) -Zen of Code Optimization- and<br />&#xA;ii) -Graphics Programming Black Book-<br />&#xA;even if you dont do any graphics programming. </p>&#xA;"
83579,2,1711,"2008-09-17 14:03:03",0,NULL,"<p>Michael Abrash  The Zen of Assembly Language</p>&#xA;"
83881,2,1711,"2008-09-17 14:34:25",0,NULL,"<p>Applying UML and Design Patterns.</p>&#xA;&#xA;<p>It helped design patterns to click with me, and provided a justification for UML that made sense to me in the phrasing 'UML as Sketch'. Namely that UML should be used as a brief sketch of the system that has the additional benefit of you not having to explain the notation to others (they either already know UML or you give them a UML book to read)</p>&#xA;"
86239,2,1711,"2008-09-17 18:40:03",0,NULL,"<p>The Algorithms book from Robert Sedgewick. A must-read for application developers.</p>&#xA;&#xA;<p>Comes in many flavours (C, C++, Java)</p>&#xA;&#xA;<p><a href=&quot;http://www.cs.princeton.edu/~rs/&quot; rel=&quot;nofollow&quot;>http://www.cs.princeton.edu/~rs/</a></p>&#xA;"
86779,2,1711,"2008-09-17 19:37:31",1,NULL,"<p>If you are doing anything in Unix/Linux/MacOS etc, you must read Advanced Programming in the Unix Environment (also known by the acronym APUE), by the late W Richard Stevens. If you don't know how file descriptors work or what sessions are, or all the things you should do when you daemonize yourself (admit it, you don't), then this book will tell you.</p>&#xA;&#xA;<p>You'll feel amatuerish for a bit afterwards, but if you want to consider yourself a professional programmer (in any language) in the Unix environment you need to read this.</p>&#xA;"
90266,2,1711,"2008-09-18 05:24:32",2,NULL,"<p>I would say that &quot;<a href=&quot;http://www.lifebeyondcode.com/&quot; rel=&quot;nofollow&quot;>Beyond Code - Learn to Distinguish Yourself in 9 Simple Steps</a>&quot; is quite a good and motivational book. I doesn't cover technical issues, but it describes ways of working with people, being professional, ... For me, this is a book you can read again and again if you are in need of some pep talk. Besides that, it is cheap and very easy and enjoyable to read in 3 to 4 hours.</p>&#xA;&#xA;<p>There is a little review over at <a href=&quot;http://www.herrodius.com/blog/54&quot; rel=&quot;nofollow&quot;>my blog</a>.</p>&#xA;"
109060,2,1711,"2008-09-20 19:17:47",1,NULL,"<p>Even though I had been programming rofessionally for years, Rocky Lhotka's &quot;Business Objects&quot; series about his CSLA framework was the book that opened my eyes.&#xA;<br/><br/>&#xA;His ideas he got me excited about software development patterns and theory again.  It set me on the path of a new interest in learning how to be a better developer, and not just learning about the latest gee-whiz control or library.  (Don't get me wrong, I still love a good technical book too - you gotta keep up!)</p>&#xA;"
109090,2,1711,"2008-09-20 19:30:43",1,NULL,"<p>I found the <a href=&quot;http://rads.stackoverflow.com/amzn/click/1848000693&quot; rel=&quot;nofollow&quot;>The Algorithm Design Manual</a> to be a very beneficial read. I also highly recommend <a href=&quot;http://rads.stackoverflow.com/amzn/click/0201657880&quot; rel=&quot;nofollow&quot;>Programming Pearls</a>.</p>&#xA;"
110019,2,1711,"2008-09-21 02:14:44",1,NULL,"<p>&quot;<a href=&quot;http://www.seas.gwu.edu/~kaufman1/FortranColoringBook/ColoringBkCover.html&quot; rel=&quot;nofollow&quot;>The Fortran Coloring Book</a>&quot; by <a href=&quot;http://www.seas.gwu.edu/~kaufman1/&quot; rel=&quot;nofollow&quot;>Dr. Roger Kaufman</a> (1978, ISBN:0262610264)</p>&#xA;&#xA;<p>What a silly concept - more basic than even a &quot;Dummies&quot; book!  But it works for any language (with a few fortran specific examples of course), explaining the basic concepts of logic, variables, i/o, etc. in a very understandable and &quot;Painfully Funny&quot; way.</p>&#xA;&#xA;<p>It's enough to get a ten year old interested in programming...</p>&#xA;&#xA;<p><img src=&quot;http://farm1.static.flickr.com/155/390132231%5F6600db7b54%5Fm.jpg&quot; alt=&quot;alt text&quot; /></p>&#xA;&#xA;<p>(Found cover photo on a <a href=&quot;http://www.flickr.com/photos/believekevin/390132231/&quot; rel=&quot;nofollow&quot;>Flickr user account</a>)</p>&#xA;"
119305,2,1711,"2008-09-23 05:48:05",7,NULL,"<p><img src=&quot;http://ecx.images-amazon.com/images/I/61dECNkdnTL._SL500_AA240_.jpg&quot; alt=&quot;alt text&quot; /></p>&#xA;&#xA;<p><a href=&quot;http://rads.stackoverflow.com/amzn/click/0136152503&quot; rel=&quot;nofollow&quot;>C++ How to Program</a> It is good for beginner.This is excellent book that full complete with 1500 pages.</p>&#xA;"
130593,2,1711,"2008-09-24 23:29:29",3,NULL,"<p>A Whole New Mind, by Daniel Pink.  Interesting take on the future of our industry.</p>&#xA;&#xA;<p>I assume most of the folks reading this will have read the books at the top of the list already.  So, i'll offer a book that takes a different look at our industry.</p>&#xA;&#xA;<p><img src=&quot;http://www.danpink.com/images/wnm.jpg&quot; alt=&quot;alt text&quot; /></p>&#xA;"
164941,2,1711,"2008-10-02 22:46:35",1,NULL,"<p>Anything by Edward Tufte: The Visual Display of Quantitative Information; Envisioning Information; Visual Explanations</p>&#xA;"
183713,2,1711,"2008-10-08 16:38:38",5,NULL,"<p></p>&#xA;&#xA;<p><a href=&quot;http://books.google.co.uk/books?hl=en&amp;id=3Ntz-UJzZN0C&amp;dq=facts+and+fallacies&amp;printsec=frontcover&amp;source=web&amp;ots=zeNETSf0qr&amp;sig=RoSzxFvdi7dohjf-qXGu3iDAmu8&amp;sa=X&amp;oi=book_result&amp;resnum=3&amp;ct=result&quot; rel=&quot;nofollow&quot;>Facts and Fallacies of Software Engineering by Robert L. Glass</a> is a really excellent book. I had been a professional hacker for almost 10 years before I read it, and a I still learned a ton of stuff.</p>&#xA;"
